類別,里別,防空疏散避難設施地址,可容納人數
榮民服務處,林頭里,雲林縣斗六市林頭里榮譽路160號,188.0
公寓,社口里,雲林縣斗六市社口里中山路173號,129.0
公寓,社口里,雲林縣斗六市社口里4鄰六合街25號,841.0
公寓,社口里,雲林縣斗六市社口里中山路171巷9-1號,433.0
大樓,社口里,雲林縣斗六市社口里22鄰南揚街64至68號,458.0
公寓,社口里,雲林縣斗六市社口里鎮南路100巷42號,172.0
公寓,社口里,雲林縣斗六市社口里13鄰鎮南路100巷45號,657.0
公寓,社口里,雲林縣斗六市社口里15鄰大智街58號,2694.0
公寓,社口里,雲林縣斗六市社口里大智街11號,4053.0
公寓,社口里,雲林縣斗六市社口里大智街82-1號,180.0
公寓,社口里,雲林縣斗六市社口里13鄰鎮南路100巷45號,3464.0
公寓,社口里,雲林縣斗六市社口里中山路171巷36號,130.0
雲林縣消防局,社口里,雲林縣斗六市社口里5鄰府前街56號,254.0
不公開,社口里,雲林縣斗六市社口里鎮南路67號,160.0
"V-MAX KTV",社口里,雲林縣斗六市社口里中山路145號,414.0
鎮南國小健身館,社口里,雲林縣斗六市社口里22鄰南揚街60號,3458.0
鎮南國小力學樓,社口里,雲林縣斗六市社口里22鄰南揚街60號,2258.0
鎮南國小敦品樓,社口里,雲林縣斗六市社口里22鄰南揚街60號,1380.0
鎮南國小,社口里,雲林縣斗六市社口里22鄰南揚街60號,2370.0
公寓,虎溪里,雲林縣斗六市虎溪里正心路70巷7號,141.0
公寓,虎溪里,雲林縣斗六市虎溪里正心路70巷10號,112.0
經濟部工業局,虎溪里,雲林縣斗六市虎溪里科工六路6號,150.0
正心中學(行政樓),虎溪里,雲林縣斗六市虎溪里正心路1號,1042.0
正心中學(教室),虎溪里,雲林縣斗六市虎溪里正心路1號,1418.0
裕源紡織廠,虎溪里,雲林縣斗六市虎溪里西平426路1號,104.0
上銀科技股份有限公司B棟,虎溪里,斗六市虎溪里23鄰雲科路三段128號,774.0
上銀科技股份有限公司C棟,虎溪里,斗六市虎溪里23鄰雲科路三段129號,452.0
不公開,虎溪里,雲林縣斗六市虎溪里雲科路3段78號,502.0
常陽興業,虎溪里,雲林縣斗六市虎溪里雲科路3段37號,705.0
佑升公司,虎溪里,雲林縣斗六市虎溪里雲科路3段87號,234.0
凱韋公司,虎溪里,雲林縣斗六市虎溪里雲科路3段86號,472.0
豐泰公司,虎溪里,雲林縣斗六市虎溪里科工八路52號,2174.0
巧新公司,虎溪里,雲林縣斗六市虎溪里雲科路3段82號,282.0
金居開發銅箔公司,虎溪里,雲林縣斗六市虎溪里科工八路56號,2572.0
華鮮食品,虎溪里,雲林縣斗六市虎溪里科工一路3號,242.0
光壁企業股份有限公司,虎溪里,雲林縣斗六市虎溪里雲科路3段55號,113.0
豐泰公司,虎溪里,雲林縣斗六市虎溪里西平路666號,233.0
賜芳公司,虎溪里,雲林縣斗六市虎溪里西平路636號,124.0
豐泰公司,虎溪里,雲林縣斗六市虎溪里西平路600號,1092.0
豐瑞公司,虎溪里,雲林縣斗六市虎溪里文生路10號,218.0
大山電纜,虎溪里,雲林縣斗六市虎溪里西平路369號,117.0
味全公司(一廠),長平里,雲林縣斗六市長平里長林路18號,248.0
味全公司(二廠),長平里,雲林縣斗六市長平里長林路18號,248.0
味全公司(三廠),長平里,雲林縣斗六市長平里長林路18號,120.0
味全公司(四廠),長平里,雲林縣斗六市長平里長林路18號,240.0
上銀科技公司,長平里,雲林縣斗六市長平里9鄰科福三街87號,1851.0
欣欣生技(輔導會食品廠),保庄里,雲林縣斗六市保庄里保長路60號,100.0
欣欣生技,保庄里,雲林縣斗六市保庄里保長路60號,1070.0
上久工業,保庄里,雲林縣斗六市保庄里1鄰廣西路16號,501.0
安生醫院,保庄里,雲林縣斗六市保庄里保長路498號,1834.0
公寓,信義里,雲林縣斗六市信義里愛國街11號,334.0
公寓,信義里,雲林縣斗六市信義里愛國街2號,121.0
公寓,信義里,"雲林縣斗六市信義里愛國街2號之2 ",270.0
公寓,信義里,"雲林縣斗六市信義里愛國街4號之2 ",120.0
公寓,信義里,"雲林縣斗六市信義里鎮北路19號 ",142.0
公寓,信義里,"雲林縣斗六市信義里大同路23號 ",265.0
公寓,信義里,"雲林縣斗六市信義里民生路170號 ",378.0
公寓,信義里,"雲林縣斗六市信義里大同路13號 ",153.0
公寓,信義里,"雲林縣斗六市信義里大同路156號 ",3169.0
公寓,信義里,"雲林縣斗六市信義里太平路7號 ",913.0
公寓,信義里,"雲林縣斗六市信義里太平路7號 ",913.0
不公開,信義里,"雲林縣斗六市信義里民生路273號 ",1398.0
農田水利會,信義里,雲林縣斗六市信義里興華街2號,2593.0
斗六市公所停車場,信義里,"雲林縣斗六市信義里文化路6號 ",4421.0
緻儷伯爵酒店,信義里,雲林縣斗六市信義里中山路6號之21,364.0
不公開,信義里,雲林縣斗六市信義里民生路223號,456.0
斗六高中,信義里,"雲林縣斗六市信義里民生路224號 ",501.0
雲林縣商業會,信義里,"雲林縣斗六市信義里民生路172號 ",309.0
不公開,埔子村,雲林縣莿桐鄉埔子村和平路74號,213.0
私立義峰高中,烏麻村,雲林縣林內鄉烏麻村16鄰長源路201號,1246.0
永洪建設公司,崙峰里,雲林縣斗六市崙峰里崙南路41號,850.0
福智文教湖山院區,湖山里,雲林縣斗六市湖山里岩山路88號,170.0
莿桐鄉農會大樓,莿桐村,雲林縣莿桐鄉莿桐村中正路75號,1066.0
清水建設公司,莿桐村,雲林縣莿桐村延平路275號,785.0
建大輪胎公司,莿桐村,雲林縣莿桐鄉莿桐村延平路50號,226.0
德欣公司,溪州里,雲林縣斗六市溪州里萬年路700號,188.0
財團法人紡織研究所,溪州里,雲林縣斗六市溪州里科加路20號,2645.0
"正新橡膠工業  羅結",溪洲里,雲林縣斗六市溪洲里13鄰科加二路8號,2866.0
日益和股份有限公司,溪洲里,斗六市溪洲里科加路18號,660.0
環球科技大學,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1121號,5380.0
環球科技大學,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1122號,3732.0
環球科技大學,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1123號,1549.0
環球科技大學,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1124號,1752.0
私立維多利亞中學,嘉東里,雲林縣斗六市嘉東里鎮南路1110號,196.0
公寓,榴中里,雲林縣斗六市榴中里石榴路79號,501.0
公寓,榴中里,雲林縣斗六市榴中里22鄰石榴路369巷133號,1517.0
福懋公司(一廠),榴中里,雲林縣斗六市榴中里河南街319號,1074.0
福懋公司(二廠),榴中里,雲林縣斗六市榴中里河南街319號,1313.0
順晉實業,榴中里,雲林縣斗六市榴中里復興路56號,317.0
惠洋工業,榴中里,雲林縣斗六市榴中里民有街22號,168.0
雲乳食品,榴中里,雲林縣斗六市榴中里工業路79號,100.0
茂一電子,榴中里,雲林縣斗六市榴中里工業路93號,140.0
大成企業,榴中里,雲林縣斗六市榴中里工業路115號,212.0
大勝公司,榴中里,雲林縣斗六市榴中里工業路99號,106.0
大成企業一廠,榴中里,雲林縣斗六市榴中里工業路115號,212.0
大成企業二廠,榴中里,雲林縣斗六市榴中里工業路115號,212.0
眾鉅公司,榴中里,雲林縣斗六市榴中里工業路109號,266.0
綠世紀公司,榴中里,雲林縣斗六市榴中里民有街16號,200.0
彰源公司,榴中里,雲林縣斗六市榴中里工業路122號,330.0
眾鉅公司,榴中里,雲林縣斗六市榴中里工業路109號,266.0
建樹(福懋)(一廠),榴中里,雲林縣斗六市榴中里石榴路317號,1204.0
建樹(福懋)(二廠),榴中里,雲林縣斗六市榴中里石榴路317號,830.0
彰源公司,榴中里,雲林縣斗六市榴中里民有街35號,293.0
建旺(福懋)(二廠),榴中里,雲林縣斗六市榴中里石榴路307號,1042.0
東峰公司,榴中里,雲林縣斗六市榴中里復興路287號,818.0
久泰精業股份有限公司,榴中里,斗六市榴中里25鄰民有街36號,342.0
公寓,榴南里,雲林縣斗六市榴南里榴南路123號,1204.0
集隆公司,榴南里,雲林縣斗六市榴南里9鄰斗工十路152號,268.0
億霖公司,榴南里,雲林縣斗六市榴南里9鄰斗工二路33號,178.0
聚隆公司,榴南里,雲林縣斗六市榴南里9鄰斗工十路150號,166.0
豪傑公司,榴南里,雲林縣斗六市榴南里9鄰斗工十二路15號,97.0
權茗金屬(玉鑫金屬),榴南里,雲林縣斗六市榴南里9鄰斗工三路3號,322.0
述睦喜公司,榴南里,雲林縣斗六市榴南里9鄰斗工十路148號,242.0
鋼藝工業,榴南里,雲林縣斗六市榴南里9鄰斗工二路46號,170.0
台日古河銅箔公司,榴南里,雲林縣斗六市榴南里9鄰斗工二路148號,217.0
國山石材企業,榴南里,雲林縣斗六市榴南里9鄰斗工六路12號,109.0
富喬工業(一廠),榴南里,雲林縣斗六市榴南里9鄰斗工十六路8號,324.0
永寬化學,榴南里,雲林縣斗六市榴南里9鄰斗工六路36號,424.0
星美行鋼鐵,榴南里,雲林縣斗六市榴南里9鄰斗工八路29號,234.0
展頌公司,榴南里,雲林縣斗六市榴南里9鄰斗工十路156號,7894.0
富喬工業(二廠),榴南里,雲林縣斗六市榴南里9鄰斗工十六路8號,1350.0
永寬化學,榴南里,雲林縣斗六市榴南里斗工六路47號,986.0
台日古河銅箔公司,榴南里,雲林縣斗六市榴南里斗工二路8號,431.0
義美食品公司,榴南里,雲林縣斗六市榴南里18鄰斗工八路1號,1424.0
公寓,龍潭里,雲林縣斗六市龍潭里9鄰忠孝路155號,3041.0
公寓,龍潭里,雲林縣斗六市龍潭里忠孝路125號,1856.0
雲林科技大學(行政樓),龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,4034.0
雲林科技大學(資訊樓),龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,1358.0
雲林科技大學(技職樓),龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,2865.0
雲林科技大學(禮堂),龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,2865.0
雲林科技大學(圖書館),龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,1358.0
雲林科技大學(體育館),龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,6072.0
雲林科技大學(教室),龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,4034.0
公寓,鎮北里,雲林縣斗六市鎮北里東興街168至170號,401.0
公寓,鎮北里,雲林縣斗六市鎮北里育英北街117號,954.0
公寓,鎮北里,雲林縣斗六市鎮北里鎮北路138號,200.0
公寓,鎮北里,雲林縣斗六市鎮北里鎮北路68號,102.0
公寓,鎮北里,雲林縣斗六市鎮北里育英北街111巷45號,354.0
公寓,鎮北里,雲林縣斗六市鎮北里育英北街111巷45-49號,354.0
公寓,鎮西里,雲林縣斗六市鎮西里建成路41至43號、同心街1至5號,845.0
公寓,鎮西里,雲林縣斗六市鎮西里雲林路1段223至227號,153.0
公寓,鎮西里,雲林縣斗六市鎮西里建成路105號,1593.0
公寓,鎮西里,雲林縣斗六市鎮西里同德街15號,557.0
公寓,鎮西里,雲林縣斗六市鎮西里建成路275至287號、安和街2號,876.0
公寓,鎮西里,雲林縣斗六市鎮西里安和街73號,152.0
公寓,鎮西里,雲林縣斗六市鎮西里建成路269至273號、安和街1號,189.0
公寓,鎮西里,雲林縣斗六市鎮西里雲林路2段203號,460.0
公寓,鎮西里,雲林縣斗六市鎮西里雲林路2段221號,826.0
公寓,鎮西里,雲林縣斗六市鎮西里11鄰樂利街53號,991.0
公寓,鎮西里,雲林縣斗六市鎮西里雲林路2段6巷59號,584.0
公寓,鎮西里,雲林縣斗六市鎮西里雲林路2段180巷11號,484.0
雲林縣政府,鎮西里,雲林縣斗六市鎮西里雲林路2段445號,600.0
斗六市公所,鎮西里,雲林縣斗六市鎮西里府文路38號,1260.0
雲林監理站,鎮西里,雲林縣斗六市鎮西里雲林路2段367號,168.0
雲林監理站,鎮西里,雲林縣斗六市鎮西里雲林路2段411號,429.0
雲林縣稅務局,鎮西里,雲林縣斗六市鎮西里府文路35號,5022.0
雲林縣政府,鎮西里,雲林縣斗六市鎮西里明德路399號,1736.0
雲林縣消防局,鎮西里,雲林縣斗六市鎮西里公園路6號,1834.0
中華幼稚園,鎮西里,雲林縣斗六市鎮西里建成路33號,294.0
廣泉行公司,鎮西里,雲林縣斗六市鎮西里建成路45至47號,292.0
台大醫院,鎮西里,雲林縣斗六市鎮西里雲林路2段579號,116.0
新光人壽,鎮西里,雲林縣斗六市鎮西里雲林路2段243號,441.0
台大雲林分院(新醫療大樓),鎮西里,雲林縣斗六市鎮西里雲林路2段579號,7176.0
家福股份有限公司,鎮西里,雲林縣斗六市鎮西里雲林路2段297號,14133.0
公寓,鎮東里,雲林縣斗六市鎮東里文化路2號,150.0
公寓,鎮東里,雲林縣斗六市鎮東里民生路238號,320.0
公寓,鎮東里,雲林縣斗六市鎮東里民生路240號,400.0
公寓,鎮東里,雲林縣斗六市鎮東里民生路238號,330.0
公寓,鎮東里,雲林縣斗六市鎮東里文化路35號,217.0
公寓,鎮東里,雲林縣斗六市鎮東里文化路73巷20號,212.0
公寓,鎮東里,雲林縣斗六市鎮東里民生路272號,1062.0
公寓,鎮東里,雲林縣斗六市鎮東里民生路2846號,261.0
公寓,鎮東里,雲林縣斗六市鎮東里民生路242號,873.0
公寓,鎮東里,雲林縣斗六市鎮東里鎮東路10號,173.0
公寓,鎮東里,雲林縣斗六市鎮東里文化路180號,3176.0
公寓,鎮東里,雲林縣斗六市鎮東里警民街26號,265.0
斗六市公所,鎮東里,雲林縣斗六市鎮東里永樂街18號,3929.0
雲林縣總工會,鎮東里,雲林縣斗六市鎮東里永樂街35號,129.0
鎮東國小,鎮東里,雲林縣斗六市鎮東里文化路205號,172.0
斗六國中,鎮東里,雲林縣斗六市鎮東里育英北街69號,2876.0
鎮東國小,鎮東里,雲林縣斗六市鎮東里文化路205號,397.0
大成中醫,鎮東里,雲林縣斗六市鎮東里鎮東路117號,633.0
公寓,鎮南里,雲林縣斗六市鎮南里5鄰中山路194號,517.0
大樓,鎮南里,雲林縣斗六市鎮南里8鄰永昌西街2號之10,1918.0
公寓,鎮南里,雲林縣斗六市鎮南里7鄰中山路234號,169.0
公寓,鎮南里,雲林縣斗六市鎮南里7鄰中山路268號之3,1025.0
大樓,鎮南里,雲林縣斗六市鎮南里7鄰永昌西街1號之5,560.0
公寓,鎮南里,雲林縣斗六市鎮南里5鄰中山路258號,164.0
公寓,鎮南里,雲林縣斗六市鎮南里7鄰南興街23號,429.0
公寓,鎮南里,雲林縣斗六市鎮南里4鄰中山路198號,392.0
公寓,鎮南里,雲林縣斗六市鎮南里13鄰南揚街120號,550.0
公寓,鎮南里,雲林縣斗六市鎮南里12鄰明德路91號,576.0
公寓,鎮南里,雲林縣斗六市鎮南里明德路463至481號,1390.0
大樓,鎮南里,雲林縣斗六市鎮南里文安街59號,1296.0
公寓,鎮南里,雲林縣斗六市鎮南里14鄰武陵街55-67號,1510.0
公寓,鎮南里,雲林縣斗六市鎮南里14鄰武陵街49巷423號,2141.0
公寓,鎮南里,雲林縣斗六市鎮南里14鄰武陵街46號,2640.0
公寓,鎮南里,雲林縣斗六市鎮南里文安街60-62號,168.0
公寓,鎮南里,雲林縣斗六市鎮南里明德路549號,813.0
公寓,鎮南里,雲林縣斗六市鎮南里14鄰武陵街25-33號,449.0
景新鞋業,饒平村,雲林縣莿桐鄉饒平村饒平路16號之3,333.0
歐迪工程公司,長安里,斗六市長安里長安西路1-6號,2577.0
