類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
公寓,中崙006,基隆市安樂區中崙里9鄰武訓街15號,中崙里,1.0,48.0,
公寓,嘉仁003,基隆市安樂區嘉仁里19鄰崇德路176之1號,嘉仁里,1.0,146.0,
公寓,定國002,基隆市安樂區定國里6鄰定國街11巷64之3號,定國里,1.0,119.0,
公寓,干城006,基隆市安樂區干城里19鄰安一路370巷22號,干城里,1.0,723.0,
公寓,嘉仁004,基隆市安樂區嘉仁里34鄰崇德路212之11號,嘉仁里,1.0,155.0,
公寓,定邦002,基隆市安樂區定邦里5鄰安一路100巷188號,定邦里,1.0,217.0,
公寓,定邦003,基隆市安樂區定邦里7鄰安一路144之2號,定邦里,1.0,167.0,
公寓,嘉仁005,基隆市安樂區嘉仁里11鄰安樂路一段75號,嘉仁里,1.0,123.0,
公寓,新西005,基隆市安樂區新西里1鄰新西街56之1號,新西里,1.0,116.0,
公寓,嘉仁006,基隆市安樂區嘉仁里28鄰安樂路一段123號,嘉仁里,1.0,118.0,
公寓,安和002,基隆市安樂區安和里9鄰安一路157號,安和里,2.0,153.0,
公寓,嘉仁007,基隆市安樂區嘉仁里33鄰安樂路一段145之1號,嘉仁里,1.0,168.0,
公寓,定國003,基隆市安樂區定國里9鄰定國街83巷18號,定國里,1.0,144.0,
公寓,干城007,基隆市安樂區干城里安一路360號,干城里,1.0,68.0,
公寓,鶯歌002,基隆市安樂區鶯歌里1鄰麥金路222號,鶯歌里,1.0,8341.0,
公寓,內寮002,基隆市安樂區內寮里6鄰武訓街65號,內寮里,1.0,48.0,
公寓,安和003,基隆市安樂區安和里11鄰安一路177巷23號,安和里,1.0,453.0,
公寓,樂一004,基隆市安樂區樂一里樂一路101號,樂一里,1.0,148.0,
公寓,西川002,基隆市安樂區西川里1鄰新西街1號,西川里,1.0,470.0,
公寓,中崙002,基隆市安樂區中崙里9鄰武訓街45號,中崙里,1.0,153.0,
公寓,內寮003,基隆市安樂區內寮里6鄰武訓街51號,內寮里,1.0,76.0,
公寓,中崙007,基隆市安樂區中崙里9鄰武訓街43號,中崙里,1.0,646.0,
公寓,鶯歌003,基隆市安樂區鶯歌里1鄰麥金路240號,鶯歌里,1.0,355.0,
公寓,中崙008,基隆市安樂區中崙里9鄰武訓街50號,中崙里,1.0,20.0,
公寓,四維001,基隆市安樂區四維里1鄰安和二街15號,四維里,1.0,11734.0,
公寓,樂一005,基隆市安樂區樂一里11鄰樂一路87號,樂一里,1.0,139.0,
公寓,中崙009,基隆市安樂區中崙里10鄰基金二路13號,中崙里,2.0,730.0,
公寓,六合001,基隆市安樂區六合里22鄰樂利三街189號,六合里,2.0,4530.0,
公寓,外寮003,基隆市安樂區外寮里4鄰基金一路131之17號,外寮里,1.0,1445.0,
公寓,干城008,基隆市安樂區干城里24鄰安一路307號,干城里,1.0,69.0,
公寓,嘉仁008,基隆市安樂區嘉仁里14鄰樂一路140號,嘉仁里,1.0,153.0,
公寓,五福001,基隆市安樂區五福里34鄰樂利三街30巷67號,五福里,1.0,1156.0,
公寓,六合002,基隆市安樂區六合里29鄰樂利三街263巷47號,六合里,2.0,5726.0,
公寓,四維002,基隆市安樂區四維里1鄰安和二街15號,四維里,2.0,2892.0,
公寓,興寮001,基隆市安樂區興寮里5鄰基金一路108之7號,興寮里,1.0,3449.0,
公寓,中崙010,基隆市安樂區中崙里13鄰基金二路1巷174之1號,中崙里,3.0,10170.0,
公寓,鶯歌004,基隆市安樂區鶯歌里17鄰麥金路34號,鶯歌里,2.0,9562.0,
公寓,中崙011,基隆市安樂區中崙里3鄰基金二路1巷176號,中崙里,2.0,7797.0,
公寓,外寮004,基隆市安樂區外寮里33鄰基金一路110之72號,外寮里,2.0,1229.0,
公寓,興寮002,基隆市安樂區興寮里7鄰基金一路110之24號,興寮里,3.0,733.0,
公寓,武崙002,基隆市安樂區武崙里5鄰基金一路135巷20號,武崙里,3.0,7044.0,
公寓,五福002,基隆市安樂區五福里36鄰樂利三街30巷3號,五福里,1.0,2408.0,
公寓,中崙012,基隆市安樂區中崙里1鄰基金二路45號,中崙里,2.0,699.0,
公寓,中崙013,基隆市安樂區中崙里9鄰武訓街8號,中崙里,1.0,153.0,
公寓,新崙001,基隆市安樂區新崙里23鄰基金一路210巷1弄4號,新崙里,1.0,476.0,
公寓,鶯歌005,基隆市安樂區鶯歌里5鄰安樂路二段162號,鶯歌里,2.0,1888.0,
公寓,武崙003,基隆市安樂區武崙里14鄰基金一路135巷21弄1號,武崙里,2.0,16613.0,
公寓,鶯歌006,基隆市安樂區鶯歌里11鄰麥金路160號,鶯歌里,1.0,356.0,
公寓,新崙002,基隆市安樂區新崙里1鄰基金一路361之1號,新崙里,1.0,1690.0,
公寓,永康003,基隆市安樂區永康里16鄰崇德路73號,永康里,4.0,660.0,
公寓,西川003,基隆市安樂區西川里1鄰新西街1號,西川里,0.0,514.0,
公寓,新崙003,基隆市安樂區新崙里14鄰基金一路214之15號,新崙里,1.0,3030.0,
公寓,新崙004,基隆市安樂區新崙里23鄰基金一路210巷1弄3號,新崙里,2.0,1416.0,
公寓,興寮003,基隆市安樂區興寮里6鄰基金一路108之16號,興寮里,1.0,1416.0,
公寓,中崙014,基隆市安樂區基金二路1巷33號1樓,中崙里,1.0,855.0,
公寓,新崙005,基隆市安樂區新崙里22鄰基金一路210巷1弄2號,新崙里,1.0,228.0,
公寓,長樂001,基隆市安樂區長樂里26鄰樂利三街22號,長樂里,4.0,2005.0,
公寓,鶯歌007,基隆市安樂區鶯歌里13鄰麥金路82號,鶯歌里,2.0,2578.0,
公寓,中崙015,基隆市安樂區中崙里9鄰武訓街16號,中崙里,1.0,442.0,
公寓,長樂002,基隆市安樂區長樂里1鄰樂利三街2巷1號,長樂里,4.0,5517.0,
公寓,武崙004,基隆市安樂區武崙里2鄰基金一路190號,武崙里,2.0,3605.0,
公寓,興寮004,基隆市安樂區興寮里3鄰基金一路113之1號,興寮里,1.0,480.0,
公寓,武崙005,基隆市安樂區武崙里9鄰基金一路135巷5弄28號,武崙里,2.0,5978.0,
公寓,長樂003,基隆市安樂區長樂里4鄰樂利三街4號,長樂里,6.0,7804.0,
公寓,武崙006,基隆市安樂區武崙里12鄰基金一路135巷73號,武崙里,1.0,6561.0,
公寓,興寮005,基隆市安樂區興寮里27鄰麥金路787之2號,興寮里,4.0,2846.0,
公寓,內寮004,基隆市安樂區內寮里28鄰基金三路46巷11號,內寮里,2.0,6004.0,
公寓,興寮006,基隆市安樂區興寮里30鄰麥金路715巷8號,興寮里,1.0,471.0,
公寓,新崙006,基隆市安樂區新崙里23鄰基金一路210巷1弄14號,新崙里,1.0,253.0,
公寓,干城009,基隆市安樂區干城里16鄰安一路329號,干城里,2.0,422.0,
公寓,嘉仁009,基隆市安樂區嘉仁里5鄰安樂路一段150號,嘉仁里,4.0,5242.0,
公寓,新崙007,基隆市安樂區新崙里23鄰基金一路210巷1弄12之1號,新崙里,1.0,319.0,
公寓,壯觀001,基隆市安樂區壯觀里20鄰樂利二街62巷25號,壯觀里,1.0,2704.0,
公寓,壯觀002,基隆市安樂區壯觀里19鄰樂利二街62巷1號,壯觀里,1.0,2357.0,
公寓,新崙007,基隆市安樂區新崙里23鄰基金一路210巷1弄18號,新崙里,1.0,199.0,
公寓,壯觀003,基隆市安樂區壯觀里22鄰樂利二街62巷57號,壯觀里,2.0,7146.0,
公寓,新崙008,基隆市安樂區新崙里8鄰基金一路210巷29號,新崙里,1.0,257.0,
公寓,中崙016,基隆市安樂區中崙里9鄰武訓街15號,中崙里,1.0,173.0,
公寓,外寮005,基隆市安樂區外寮里6鄰基金一路129巷1號之6,外寮里,2.0,537.0,
公寓,外寮006,基隆市安樂區外寮里27鄰武嶺街309號,外寮里,1.0,6806.0,
公寓,四維003,基隆市安樂區四維里30鄰安和二街4之1號,四維里,1.0,8850.0,
公寓,外寮007,基隆市安樂區武嶺街303號1F樓,外寮里,1.0,6737.0,
公寓,壯觀004,基隆市安樂區壯觀里27鄰樂利二街62巷40號,壯觀里,3.0,11387.0,
公寓,安和004,基隆市安樂區安和里10鄰安一路183號,安和里,2.0,254.0,
公寓,武崙007,基隆市安樂區武崙里24鄰基金一路116號,武崙里,2.0,2841.0,
公寓,外寮008,基隆市安樂區外寮里29鄰武嶺街219號,外寮里,1.0,3287.0,
公寓,四維004,基隆市安樂區四維里22鄰安和一街330巷3號,四維里,3.0,8150.0,
公寓,四維005,基隆市安樂區四維里19鄰安和一街148號,四維里,2.0,6098.0,
公寓,外寮009,基隆市安樂區外寮里7鄰武嶺街89號,外寮里,1.0,2258.0,
公寓,興寮007,基隆市安樂區興寮里31鄰基金一路121巷14之9號,興寮里,1.0,5155.0,
公寓,興寮008,基隆市安樂區興寮里9鄰基金一路112巷110弄12之7號,興寮里,1.0,1429.0,
公寓,興寮009,基隆市安樂區興寮里10鄰基金一路112巷110弄15之11號,興寮里,1.0,3848.0,
公寓,興寮010,基隆市安樂區興寮里16鄰基金一路112巷110弄14之3號,興寮里,3.0,1826.0,
公寓,興寮011,基隆市安樂區興寮里12鄰基金一路112巷110弄19之2號,興寮里,2.0,3236.0,
公寓,內寮005,基隆市安樂區內寮里35鄰武隆街107號,內寮里,1.0,176.0,
公寓,長樂004,基隆市安樂區長樂里25鄰樂利三街83號,長樂里,2.0,6712.0,
公寓,鶯歌008,基隆市安樂區鶯歌里11鄰麥金路146號,鶯歌里,1.0,37.0,
公寓,鶯安001,基隆市安樂區鶯安里14鄰麥金路161號,鶯安里,4.0,19903.0,
公寓,外寮010,基隆市安樂區基金一路112巷15號及2樓之至6,外寮里,2.0,3000.0,
公寓,安和005,基隆市安樂區安和里11鄰安一路177巷23號,安和里,1.0,1060.0,
公寓,鶯安002,基隆市安樂區鶯安里30鄰麥金路127巷8之1號,鶯安里,1.0,4549.0,
公寓,定國004,基隆市安樂區定國里2鄰定國街11巷52號,定國里,2.0,1633.0,
公寓,外寮011,基隆市安樂區外寮里武嶺街315號,外寮里,1.0,373.0,
公寓,武崙008,基隆市安樂區武崙里22鄰基金一路160之2號,武崙里,2.0,6815.0,
公寓,內寮006,基隆市安樂區內寮里10鄰武隆街205號,內寮里,1.0,435.0,
公寓,壯觀005,基隆市安樂區壯觀里2鄰樂利二街62巷214號,壯觀里,4.0,21577.0,
公寓,四維006,基隆市安樂區四維里14鄰安和一街392號,四維里,1.0,600.0,
公寓,內寮007,基隆市安樂區內寮里6鄰武訓街84號,內寮里,1.0,2288.0,
公寓,內寮008,基隆市安樂區內寮里35鄰武隆街107號,內寮里,1.0,507.0,
公寓,壯觀006,基隆市安樂區壯觀里13鄰樂利二街62巷273號,壯觀里,5.0,6719.0,
公寓,鶯歌009,基隆市安樂區鶯歌里1鄰麥金路236號,鶯歌里,2.0,448.0,
公寓,安和006,基隆市安樂區安和里11鄰安一路177巷23號,安和里,1.0,244.0,
公寓,四維007,基隆市安樂區四維里14鄰安和一街392號,四維里,1.0,219.0,
公寓,干城010,基隆市安樂區干城里17鄰安一路370巷1之5號,干城里,1.0,2235.0,
公寓,三民001,基隆市安樂區三民里19鄰麥金路482之1號,三民里,1.0,2120.0,
公寓,外寮012,基隆市安樂區外寮里武嶺街315號,外寮里,1.0,4609.0,
公寓,新崙009,基隆市安樂區新崙里25鄰基金一路208巷188號,新崙里,2.0,2931.0,
公寓,新崙010,基隆市安樂區新崙里25鄰基金一路208巷182號,新崙里,2.0,2953.0,
公寓,新崙011,基隆市安樂區新崙里25鄰基金一路208巷184號,新崙里,2.0,3231.0,
公寓,四維008,基隆市安樂區四維里12鄰安和一街29號,四維里,1.0,907.0,
公寓,新崙012,基隆市安樂區新崙里2鄰基金一路208巷122號,新崙里,1.0,1151.0,
公寓,武崙009,基隆市安樂區武崙里20鄰武崙街205號,武崙里,1.0,898.0,
公寓,壯觀007,基隆市安樂區壯觀里30鄰樂利二街62巷52之1號,壯觀里,1.0,461.0,
公寓,新崙013,基隆市安樂區新崙里25鄰基金一路208巷200號,新崙里,3.0,10120.0,
公寓,壯觀008,基隆市安樂區壯觀里30鄰樂利二街62巷54之1號,壯觀里,1.0,521.0,
公寓,興寮012,基隆市安樂區興寮里34鄰基金一路129巷26號,興寮里,1.0,3049.0,
公寓,壯觀009,基隆市安樂區壯觀里32鄰樂利二街62巷367號,壯觀里,1.0,2900.0,
公寓,五福003,基隆市安樂區五福里32鄰樂利三街30巷123號,五福里,1.0,2120.0,
公寓,壯觀010,基隆市安樂區壯觀里31鄰樂利二街62巷623號,壯觀里,1.0,2402.0,
公寓,四維009,基隆市安樂區四維里29鄰安和二街66號,四維里,2.0,1199.0,
公寓,四維010,基隆市安樂區四維里29鄰安和二街52號,四維里,2.0,1258.0,
公寓,新崙014,基隆市安樂區新崙里25鄰基金一路208巷200號,新崙里,2.0,1858.0,
公寓,鶯安003,基隆市安樂區鶯安里30鄰麥金路127巷135號,鶯安里,1.0,494.0,
公寓,武崙010,基隆市安樂區武崙里20鄰武崙街205號,武崙里,1.0,2206.0,
公寓,四維011,基隆市安樂區四維里29鄰安和二街48號,四維里,1.0,153.0,
公寓,壯觀011,基隆市安樂區壯觀里32鄰樂利二街62巷536號,壯觀里,2.0,6499.0,
公寓,四維012,基隆市安樂區四維里29鄰安和二街38號,四維里,1.0,175.0,
公寓,新西006,基隆市安樂區新西里5鄰新西街106之2號,新西里,1.0,480.0,
公寓,武崙011,基隆市安樂區武崙里4鄰基金一路206號,武崙里,2.0,1324.0,
公寓,四維0013,基隆市安樂區四維里29鄰安和二街46號,四維里,1.0,267.0,
公寓,五福004,基隆市安樂區五福里25鄰樂利三街32巷22號,五福里,1.0,718.0,
公寓,四維014,基隆市安樂區四維里29鄰安和二街40號,四維里,1.0,334.0,
公寓,興寮013,基隆市安樂區興寮里34鄰基金一路129巷8號,興寮里,2.0,751.0,
公寓,鶯歌010,基隆市安樂區鶯歌里1鄰麥金路242號,鶯歌里,1.0,2393.0,
公寓,興寮014,基隆市安樂區興寮里34鄰基金一路129巷15號,興寮里,1.0,199.0,
公寓,四維015,基隆市安樂區四維里29鄰安和二街30號,四維里,2.0,676.0,
公寓,鶯安004,基隆市安樂區鶯安里39鄰麥金路297號,鶯安里,7.0,25455.0,
公寓,壯觀012,基隆市安樂區壯觀里29鄰樂利二街62巷138號,壯觀里,4.0,2505.0,
公寓,中崙017,基隆市安樂區中崙里2鄰基金二路1巷32號,中崙里,1.0,814.0,
公寓,中崙018,基隆市安樂區中崙里7鄰基金二路1巷50號,中崙里,1.0,402.0,
公寓,中崙019,基隆市安樂區中崙里2鄰基金二路1巷38之2號,中崙里,1.0,594.0,
公寓,四維016,基隆市安樂區四維里29鄰安和二街56之1號,四維里,1.0,215.0,
公寓,武崙012,基隆市安樂區武崙里20鄰武崙街145號,武崙里,2.0,5628.0,
公寓,六合003,基隆市安樂區六合里28鄰樂利三街369號,六合里,1.0,953.0,
一般住宅,樂一011,基隆市安樂區樂一里安樂路一段1號,樂一里,3.0,2176.0,
